"movie_id","title","description","rating","rank","release_year"
4130484,"Demon House","Paranormal investigator Zak Bagans documents the most authenticated case of possession in American history.","6.10",4,2018
4209788,"Molly's Game","The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.","7.50",3,2017
4456850,"Adventures in Babysitting","Two teen rival babysitters, Jenny and Lola, team up to hunt down one of their kids who accidentally runs away into the big city without any supervision.","6.10",4,2016
4500922,"Maze Runner: The Death Cure","Young hero Thomas embarks on a mission to find a cure for a deadly disease known as &quot;The Flare&quot;.","6.50",4,2018
4547194,"I Kill Giants","Barbara Thorson struggles through life by escaping into a fantasy life of magic and monsters.","6.50",4,2017
4591310,"The Monkey King 2","When a travelling monk is stranded in a wasteland, The Monkey King must escort him across the land to retrieve sacred scriptures and protect him from an evil demon.","6.00",4,2016
4683668,"Harold and Lillian: A Hollywood Love Story","Harold and Lillian eloped to Hollywood in 1947, where they became the film industry's secret weapons. Nobody talked about them, but everybody wanted them. Theirs is the greatest story never told-until now.","8.00",2,2015
4932154,"Centre of My World","After a summer spent with his his best friend Kat to escape his family, Phil goes back to school and starts to question his feelings towards Nicholas, a new classmate.","7.30",3,2016
5030452,"Don't Talk to Irene","Irene must endure 2 weeks of community service at a retirement home. Following her passion for cheerleading, she secretly signs up the senior residents to audition for a dance-themed ...","6.40",4,2017
5039242,"A Moving Romance","After inheriting her family's moving company, a young woman (Ambyr Childers) starts to clash with the manager (Keegan Allen) who thought he was going to take over.","6.10",4,2017
5079382,"Froning: The Fittest Man in History","Rich Froning Jr. is a legend in CrossFit and the Sport of Fitness. In this biopic, take a look at his childhood, follow his quest for a fourth CrossFit Games title, and see him as a son, a husband and a new father.","6.70",4,2015
5085924,"Wildling","A blossoming teenager uncovers the dark secret behind her traumatic childhood.","6.10",4,2018
5117670,"Peter Rabbit","Feature adaptation of Beatrix Potter's classic tale of a rebellious rabbit trying to sneak into a farmer's vegetable garden.","6.60",4,2018
5208216,"Wonderstruck","Tells the tale of two children separated by fifty years. In 1927, Rose searches for the actress who's life she chronicles in her scrapbook; in 1977, Ben runs away from home to find his father.","6.30",4,2017
